quarter,country,category,unit_price_usd,discount_pct,discounted_price_usd,revenue_usd,unit_price_usd_is_outlier,discounted_price_usd_is_outlier,revenue_usd_is_outlier
Q1,Argentina,iPhone,1147.94,3,1113.5,1113.5,0,0,0
Q1,Argentina,Accessories,26.96,2,26.42,211.36,0,0,0
Q2,Argentina,AirPods,164.04,10,147.64,442.92,0,0,0
Q2,Argentina,iPhone,900.14,5,855.13,855.13,0,0,0
Q3,Argentina,Accessories,119.08,2,116.7,466.8,0,0,0
Q4,Argentina,Mac,2125.7475000000004,15,2053.9725,3912.29,1,1,1
Q4,Argentina,iPhone,1143.37,15,971.86,971.86,0,0,0
Q1,Argentina,iPad,416.95,2,408.61,817.22,0,0,0
Q1,Argentina,iPad,1104.61,0,1104.61,2209.22,0,0,0
Q2,Argentina,AirPods,170.56,10,153.5,460.5,0,0,0
Q2,Argentina,Accessories,93.31,10,83.98,167.96,0,0,0
Q2,Argentina,AirPods,180.43,10,162.39,162.39,0,0,0
Q4,Argentina,Apple Watch,304.55,10,274.1,274.1,0,0,0
Q4,Argentina,iPad,622.68,10,560.41,1681.23,0,0,0
Q4,Argentina,Apple Watch,838.27,5,796.36,1592.72,0,0,0
Q4,Argentina,Apple Watch,285.74,15,242.88,728.64,0,0,0
Q1,Argentina,iPad,605.36,7,562.98,562.98,0,0,0
Q1,Argentina,Mac,2125.7475000000004,3,2053.9725,3912.29,1,1,1
Q2,Argentina,iPhone,857.32,0,857.32,857.32,0,0,0
Q2,Argentina,iPad,580.48,2,568.87,1137.74,0,0,0
Q2,Argentina,Mac,2032.81,0,2032.81,3912.29,0,0,1
Q3,Argentina,AirPods,157.92,0,157.92,1105.44,0,0,0
Q3,Argentina,Apple Watch,425.72,10,383.15,1532.6,0,0,0
Q4,Argentina,Accessories,102.7,0,102.7,205.4,0,0,0
Q4,Argentina,iPhone,901.31,0,901.31,901.31,0,0,0
Q1,Argentina,Mac,2125.7475000000004,0,2053.9725,3912.29,1,1,1
Q1,Argentina,Accessories,313.13,0,313.13,313.13,0,0,0
Q1,Argentina,iPad,538.4,0,538.4,538.4,0,0,0
Q2,Argentina,Accessories,129.25,10,116.33,116.33,0,0,0
Q3,Argentina,AirPods,135.26,10,121.73,121.73,0,0,0
Q3,Argentina,Apple Watch,310.4,15,263.84,527.68,0,0,0
Q3,Argentina,iPhone,632.35,0,632.35,632.35,0,0,0
Q3,Argentina,Accessories,103.58,0,103.58,103.58,0,0,0
Q3,Argentina,iPad,1116.65,3,1083.15,3912.29,0,0,1
Q4,Argentina,iPhone,926.92,10,834.23,834.23,0,0,0
Q4,Argentina,iPhone,1150.97,0,1150.97,1150.97,0,0,0
Q1,Argentina,iPhone,616.9,3,598.39,1795.17,0,0,0
Q1,Argentina,Apple Watch,805.93,10,725.34,3626.7,0,0,0
Q1,Argentina,Mac,2125.7475000000004,3,2053.9725,2511.12,1,1,0
Q2,Argentina,iPhone,1035.62,0,1035.62,1035.62,0,0,0
Q2,Argentina,iPad,798.43,0,798.43,798.43,0,0,0
Q2,Argentina,iPad,507.75,15,431.59,431.59,0,0,0
Q3,Argentina,iPhone,1153.56,10,1038.2,1038.2,0,0,0
Q3,Argentina,Accessories,93.06,3,90.27,451.35,0,0,0
Q4,Argentina,iPhone,901.23,0,901.23,901.23,0,0,0
Q4,Argentina,Apple Watch,770.64,0,770.64,3082.56,0,0,0
Q1,Argentina,Mac,2113.54,0,2053.9725,2113.54,0,1,0
Q2,Argentina,iPhone,558.65,0,558.65,1117.3,0,0,0
Q2,Argentina,Accessories,79.23,5,75.27,301.08,0,0,0
Q2,Argentina,Accessories,101.82,5,96.73,96.73,0,0,0
Q3,Argentina,Accessories,131.62,10,118.46,236.92,0,0,0
Q3,Argentina,AirPods,259.11,7,240.97,481.94,0,0,0
Q3,Argentina,Accessories,36.7,15,31.2,249.6,0,0,0
Q3,Argentina,Accessories,26.89,7,25.01,100.04,0,0,0
Q3,Argentina,iPhone,940.64,2,921.83,921.83,0,0,0
Q4,Argentina,Accessories,127.55,0,127.55,127.55,0,0,0
Q4,Argentina,Mac,1183.64,10,1065.28,1065.28,0,0,0
Q4,Argentina,Mac,2125.7475000000004,3,2053.9725,3912.29,1,1,1
Q4,Argentina,Mac,1302.97,10,1172.67,1172.67,0,0,0
Q1,Argentina,Accessories,132.4,3,128.43,513.72,0,0,0
Q1,Argentina,Apple Watch,741.88,5,704.79,1409.58,0,0,0
Q1,Argentina,Mac,1168.71,15,993.4,993.4,0,0,0
Q2,Argentina,iPad,487.28,0,487.28,487.28,0,0,0
Q2,Argentina,iPhone,988.13,2,968.37,3912.29,0,0,1
Q2,Argentina,iPhone,1078.63,0,1078.63,1078.63,0,0,0
Q3,Argentina,iPad,553.14,0,553.14,1659.42,0,0,0
Q3,Argentina,Apple Watch,388.87,7,361.65,361.65,0,0,0
Q4,Argentina,Accessories,310.25,0,310.25,930.75,0,0,0
Q4,Argentina,Accessories,73.55,3,71.34,214.02,0,0,0
Q1,Argentina,iPad,602.01,2,589.97,589.97,0,0,0
Q1,Argentina,iPhone,1050.78,3,1019.26,1019.26,0,0,0
Q1,Argentina,Apple Watch,294.08,10,264.67,264.67,0,0,0
Q1,Argentina,Apple Watch,267.85,0,267.85,535.7,0,0,0
Q1,Argentina,Apple Watch,237.99,7,221.33,1327.98,0,0,0
Q2,Argentina,iPad,1063.62,3,1031.71,3912.29,0,0,1
Q2,Argentina,iPhone,564.98,10,508.48,508.48,0,0,0
Q3,Argentina,AirPods,262.48,0,262.48,262.48,0,0,0
Q3,Argentina,Mac,602.06,10,541.85,541.85,0,0,0
Q4,Argentina,iPhone,831.88,0,831.88,1663.76,0,0,0
Q1,Argentina,iPhone,681.23,0,681.23,681.23,0,0,0
Q1,Argentina,iPad,833.09,0,833.09,833.09,0,0,0
Q2,Argentina,iPhone,852.36,0,852.36,852.36,0,0,0
Q2,Argentina,Accessories,28.43,3,27.58,27.58,0,0,0
Q2,Argentina,AirPods,123.35,3,119.65,119.65,0,0,0
Q2,Argentina,iPhone,1105.53,0,1105.53,1105.53,0,0,0
Q3,Argentina,Accessories,99.42,0,99.42,99.42,0,0,0
Q3,Argentina,Accessories,125.45,10,112.91,112.91,0,0,0
Q3,Argentina,Mac,2125.7475000000004,0,2053.9725,3912.29,1,1,1
Q3,Argentina,Mac,1104.86,15,939.13,1878.26,0,0,0
Q4,Argentina,iPhone,780.83,0,780.83,780.83,0,0,0
Q4,Argentina,Accessories,104.0,0,104.0,104.0,0,0,0
Q4,Argentina,iPad,418.12,0,418.12,2508.72,0,0,0
Q4,Argentina,Mac,2125.7475000000004,7,2053.9725,3912.29,1,1,1
Q4,Argentina,AirPods,167.64,2,164.29,164.29,0,0,0
Q1,Argentina,Accessories,133.28,0,133.28,533.12,0,0,0
Q1,Argentina,Mac,1202.38,0,1202.38,2404.76,0,0,0
Q1,Argentina,Accessories,124.36,7,115.65,115.65,0,0,0
Q1,Argentina,Mac,2125.7475000000004,7,2053.9725,2190.48,1,1,0
Q1,Argentina,Accessories,105.1,0,105.1,420.4,0,0,0
Q2,Argentina,iPad,773.63,0,773.63,773.63,0,0,0
Q3,Argentina,iPhone,843.88,0,843.88,843.88,0,0,0
Q3,Argentina,Accessories,105.45,0,105.45,210.9,0,0,0
Q4,Argentina,iPhone,758.89,10,683.0,683.0,0,0,0
Q4,Argentina,iPhone,944.05,10,849.64,2548.92,0,0,0
Q4,Argentina,iPhone,949.18,5,901.72,2705.16,0,0,0
Q4,Argentina,Accessories,29.68,0,29.68,29.68,0,0,0
Q4,Argentina,iPhone,734.33,2,719.64,719.64,0,0,0
Q1,Argentina,Accessories,127.34,5,120.97,120.97,0,0,0
Q1,Argentina,Apple Watch,265.16,10,238.64,238.64,0,0,0
Q2,Argentina,iPhone,964.48,0,964.48,1928.96,0,0,0
Q2,Argentina,iPhone,862.65,5,819.52,1639.04,0,0,0
Q2,Argentina,Accessories,104.6,0,104.6,104.6,0,0,0
Q2,Argentina,iPhone,1207.54,0,1207.54,2415.08,0,0,0
Q2,Argentina,Accessories,27.19,3,26.37,26.37,0,0,0
Q3,Argentina,Apple Watch,841.25,10,757.12,1514.24,0,0,0
Q4,Argentina,Mac,569.78,3,552.69,3316.14,0,0,0
Q4,Argentina,Apple Watch,284.05,0,284.05,852.15,0,0,0
Q1,Argentina,Accessories,105.12,2,103.02,103.02,0,0,0
Q2,Argentina,iPad,471.05,10,423.94,2119.7,0,0,0
Q3,Argentina,iPad,564.18,2,552.9,1658.7,0,0,0
Q3,Argentina,Mac,1111.57,2,1089.34,1089.34,0,0,0
Q3,Argentina,Accessories,92.14,5,87.53,87.53,0,0,0
Q3,Argentina,AirPods,540.45,0,540.45,1080.9,0,0,0
Q3,Argentina,Mac,2125.7475000000004,2,2053.9725,3912.29,1,1,1
Q3,Argentina,Mac,2125.7475000000004,5,2053.9725,2285.41,1,1,0
Q3,Argentina,Apple Watch,861.86,3,836.0,2508.0,0,0,0
Q4,Argentina,iPhone,925.72,7,860.92,860.92,0,0,0
Q4,Argentina,Mac,1939.8,5,1842.81,3685.62,0,0,0
Q1,Argentina,iPhone,430.92,0,430.92,861.84,0,0,0
Q1,Argentina,iPad,537.39,5,510.52,3573.64,0,0,0
Q1,Argentina,iPad,601.04,2,589.02,1767.06,0,0,0
Q2,Argentina,iPhone,583.1,0,583.1,3498.6,0,0,0
Q3,Argentina,Mac,1341.52,0,1341.52,1341.52,0,0,0
Q3,Argentina,iPhone,808.92,3,784.65,784.65,0,0,0
Q4,Argentina,Mac,1056.55,0,1056.55,1056.55,0,0,0
Q4,Argentina,iPhone,743.73,0,743.73,1487.46,0,0,0
Q4,Argentina,Accessories,36.41,0,36.41,109.23,0,0,0
Q4,Argentina,iPhone,556.12,5,528.31,528.31,0,0,0
Q1,Argentina,Accessories,300.37,0,300.37,600.74,0,0,0
Q1,Argentina,iPhone,792.93,15,673.99,673.99,0,0,0
Q1,Argentina,iPhone,689.32,15,585.92,585.92,0,0,0
Q2,Argentina,Apple Watch,285.22,3,276.66,276.66,0,0,0
Q3,Argentina,Apple Watch,767.49,7,713.77,3568.85,0,0,0
Q4,Argentina,Accessories,124.7,7,115.97,115.97,0,0,0
Q4,Argentina,Mac,1161.74,15,987.48,987.48,0,0,0
Q4,Argentina,Mac,2050.76,0,2050.76,2050.76,0,0,0
Q1,Argentina,Mac,1295.83,2,1269.91,2539.82,0,0,0
Q1,Argentina,Accessories,139.18,15,118.3,118.3,0,0,0
Q1,Argentina,Accessories,123.81,0,123.81,495.24,0,0,0
Q2,Argentina,AirPods,164.6,0,164.6,164.6,0,0,0
Q2,Argentina,Accessories,131.5,10,118.35,355.05,0,0,0
Q2,Argentina,iPhone,398.32,3,386.37,386.37,0,0,0
Q2,Argentina,Accessories,128.29,0,128.29,128.29,0,0,0
Q3,Argentina,iPhone,729.75,0,729.75,729.75,0,0,0
Q3,Argentina,AirPods,256.89,0,256.89,256.89,0,0,0
Q3,Argentina,iPhone,832.07,0,832.07,1664.14,0,0,0
Q3,Argentina,iPhone,929.57,3,901.68,901.68,0,0,0
Q3,Argentina,AirPods,541.7,0,541.7,541.7,0,0,0
Q3,Argentina,iPhone,435.35,10,391.82,1959.1,0,0,0
Q4,Argentina,iPhone,892.7,0,892.7,1785.4,0,0,0
Q4,Argentina,iPhone,756.23,2,741.11,2964.44,0,0,0
Q4,Argentina,Apple Watch,419.98,10,377.98,755.96,0,0,0
Q4,Argentina,Mac,1130.4,2,1107.79,1107.79,0,0,0
Q4,Argentina,Apple Watch,295.04,0,295.04,1180.16,0,0,0
Q1,Argentina,iPhone,1023.42,3,992.72,1985.44,0,0,0
Q1,Argentina,Apple Watch,311.45,15,264.73,1853.11,0,0,0
Q1,Argentina,iPhone,1181.64,0,1181.64,2363.28,0,0,0
Q2,Argentina,Accessories,101.56,15,86.33,172.66,0,0,0
Q3,Argentina,iPad,454.56,2,445.47,890.94,0,0,0
Q3,Argentina,AirPods,583.67,2,572.0,572.0,0,0,0
Q4,Argentina,iPhone,986.2,3,956.61,3912.29,0,0,1
Q4,Argentina,iPhone,1158.12,15,984.4,984.4,0,0,0
Q1,Australia,Accessories,105.29,3,102.13,408.52,0,0,0
Q1,Australia,Accessories,38.13,0,38.13,38.13,0,0,0
Q1,Australia,iPhone,861.39,0,861.39,861.39,0,0,0
Q2,Australia,Accessories,36.99,0,36.99,36.99,0,0,0
Q2,Australia,Mac,2125.7475000000004,3,2053.9725,3912.29,1,1,1
Q3,Australia,iPad,766.57,7,712.91,1425.82,0,0,0
Q4,Australia,iPad,624.49,0,624.49,624.49,0,0,0
Q1,Australia,iPhone,862.96,3,837.07,3348.28,0,0,0
Q1,Australia,iPhone,400.6,15,340.51,681.02,0,0,0
Q1,Australia,iPhone,983.08,2,963.42,963.42,0,0,0
Q2,Australia,iPhone,945.28,2,926.37,1852.74,0,0,0
Q2,Australia,Mac,627.16,0,627.16,1254.32,0,0,0
Q3,Australia,iPhone,914.28,0,914.28,3657.12,0,0,0
Q3,Australia,iPhone,889.81,0,889.81,889.81,0,0,0
Q4,Australia,Accessories,121.9,0,121.9,121.9,0,0,0
Q4,Australia,Accessories,92.61,10,83.35,250.05,0,0,0
Q2,Australia,Accessories,106.44,7,98.99,494.95,0,0,0
Q2,Australia,Apple Watch,377.09,7,350.69,350.69,0,0,0
Q3,Australia,AirPods,567.28,0,567.28,567.28,0,0,0
Q3,Australia,iPad,464.0,5,440.8,881.6,0,0,0
Q3,Australia,iPhone,1232.28,7,1146.02,1146.02,0,0,0
Q3,Australia,Mac,2125.7475000000004,7,2053.9725,2477.97,1,1,0
Q4,Australia,Accessories,125.8,0,125.8,125.8,0,0,0
Q1,Australia,Accessories,77.47,5,73.6,73.6,0,0,0
Q1,Australia,Accessories,293.02,0,293.02,586.04,0,0,0
Q2,Australia,Accessories,129.44,2,126.85,253.7,0,0,0
Q2,Australia,iPhone,645.11,0,645.11,3912.29,0,0,1
Q3,Australia,Accessories,124.32,0,124.32,248.64,0,0,0
Q3,Australia,iPhone,862.03,0,862.03,862.03,0,0,0
Q4,Australia,Accessories,28.3,0,28.3,84.9,0,0,0
Q4,Australia,Apple Watch,262.98,7,244.57,489.14,0,0,0
Q4,Australia,iPad,1163.21,0,1163.21,3912.29,0,0,1
Q1,Australia,iPhone,561.43,0,561.43,1122.86,0,0,0
Q2,Australia,iPhone,871.95,5,828.35,1656.7,0,0,0
Q2,Australia,Accessories,123.71,10,111.34,334.02,0,0,0
Q2,Australia,AirPods,239.83,0,239.83,959.32,0,0,0
Q3,Australia,Accessories,83.07,3,80.58,483.48,0,0,0
Q3,Australia,Accessories,125.81,0,125.81,125.81,0,0,0
Q3,Australia,Accessories,127.79,0,127.79,1022.32,0,0,0
Q4,Australia,Accessories,134.62,0,134.62,134.62,0,0,0
Q4,Australia,iPhone,687.96,0,687.96,687.96,0,0,0
Q4,Australia,Apple Watch,417.03,3,404.52,1213.56,0,0,0
Q2,Australia,iPad,1026.25,10,923.62,1847.24,0,0,0
Q2,Australia,iPhone,832.09,0,832.09,832.09,0,0,0
Q2,Australia,Accessories,99.95,15,84.96,169.92,0,0,0
Q2,Australia,Accessories,30.55,3,29.63,29.63,0,0,0
Q4,Australia,iPhone,741.72,10,667.55,667.55,0,0,0
Q1,Australia,Mac,2125.7475000000004,0,2053.9725,3912.29,1,1,1
Q1,Australia,iPad,845.63,0,845.63,2536.89,0,0,0
Q2,Australia,Accessories,106.68,0,106.68,106.68,0,0,0
Q2,Australia,Accessories,132.98,0,132.98,132.98,0,0,0
Q3,Australia,iPhone,912.07,15,775.26,1550.52,0,0,0
Q3,Australia,Mac,613.42,2,601.15,1202.3,0,0,0
Q3,Australia,Mac,1238.53,0,1238.53,3715.59,0,0,0
Q4,Australia,Accessories,119.55,5,113.57,227.14,0,0,0
Q4,Australia,iPhone,841.14,0,841.14,1682.28,0,0,0
Q4,Australia,Apple Watch,837.52,10,753.77,753.77,0,0,0
Q4,Australia,iPad,1149.9,10,1034.91,2069.82,0,0,0
Q1,Australia,Accessories,127.2,3,123.38,123.38,0,0,0
Q1,Australia,iPhone,620.73,3,602.11,2408.44,0,0,0
Q1,Australia,Accessories,91.39,0,91.39,182.78,0,0,0
Q1,Australia,iPhone,1016.23,0,1016.23,1016.23,0,0,0
Q2,Australia,Mac,620.97,0,620.97,1241.94,0,0,0
Q2,Australia,Apple Watch,244.78,0,244.78,1468.68,0,0,0
Q3,Australia,iPhone,907.75,0,907.75,907.75,0,0,0
Q1,Australia,iPad,487.71,0,487.71,3901.68,0,0,0
Q1,Australia,iPhone,567.77,15,482.6,482.6,0,0,0
Q2,Australia,iPad,744.91,0,744.91,2234.73,0,0,0
Q3,Australia,AirPods,252.17,15,214.34,214.34,0,0,0
Q3,Australia,Accessories,76.55,15,65.07,65.07,0,0,0
Q3,Australia,AirPods,131.23,0,131.23,524.92,0,0,0
Q4,Australia,Accessories,74.8,0,74.8,74.8,0,0,0
Q4,Australia,Apple Watch,394.56,0,394.56,394.56,0,0,0
Q1,Australia,AirPods,506.31,5,480.99,1442.97,0,0,0
Q1,Australia,iPhone,956.81,10,861.13,861.13,0,0,0
Q2,Australia,iPhone,845.52,2,828.61,828.61,0,0,0
Q2,Australia,iPhone,1267.52,0,1267.52,3912.29,0,0,1
Q2,Australia,iPhone,396.97,0,396.97,396.97,0,0,0
Q2,Australia,Accessories,93.88,0,93.88,93.88,0,0,0
Q3,Australia,iPhone,1176.84,15,1000.31,1000.31,0,0,0
Q3,Australia,iPhone,1055.28,0,1055.28,1055.28,0,0,0
Q3,Australia,Mac,1200.67,5,1140.64,1140.64,0,0,0
Q4,Australia,Mac,1255.2,0,1255.2,1255.2,0,0,0
Q4,Australia,iPad,1084.49,5,1030.27,2060.54,0,0,0
Q4,Australia,iPad,441.56,15,375.33,375.33,0,0,0
Q1,Australia,iPad,572.34,0,572.34,572.34,0,0,0
Q2,Australia,iPhone,1103.29,0,1103.29,2206.58,0,0,0
Q3,Australia,iPhone,943.16,0,943.16,1886.32,0,0,0
Q4,Australia,AirPods,507.21,0,507.21,2028.84,0,0,0
Q4,Australia,Mac,1039.76,7,966.98,1933.96,0,0,0
Q1,Australia,iPhone,957.68,3,928.95,3912.29,0,0,1
Q1,Australia,Accessories,73.44,7,68.3,68.3,0,0,0
Q1,Australia,iPhone,943.43,0,943.43,3912.29,0,0,1
Q1,Australia,Mac,2125.7475000000004,10,2053.9725,3912.29,1,1,1
Q1,Australia,iPhone,993.77,0,993.77,2981.31,0,0,0
Q2,Australia,iPhone,948.13,7,881.76,2645.28,0,0,0
Q3,Australia,AirPods,120.77,0,120.77,120.77,0,0,0
Q3,Australia,Accessories,125.85,7,117.04,234.08,0,0,0
Q3,Australia,iPhone,1166.44,0,1166.44,1166.44,0,0,0
Q3,Australia,iPhone,691.81,2,677.97,2711.88,0,0,0
Q4,Australia,Accessories,286.2,2,280.48,280.48,0,0,0
Q1,Australia,iPad,748.65,2,733.68,733.68,0,0,0
Q1,Australia,Mac,1260.1,0,1260.1,1260.1,0,0,0
Q1,Australia,Accessories,279.1,3,270.73,270.73,0,0,0
Q2,Australia,Mac,1330.19,5,1263.68,1263.68,0,0,0
Q2,Australia,Accessories,104.34,0,104.34,104.34,0,0,0
Q2,Australia,iPad,576.34,0,576.34,2305.36,0,0,0
Q3,Australia,Accessories,137.23,10,123.51,123.51,0,0,0
Q3,Australia,Mac,584.73,15,497.02,2982.12,0,0,0
Q4,Australia,Accessories,277.7,15,236.04,236.04,0,0,0
Q4,Australia,iPhone,741.86,0,741.86,741.86,0,0,0
Q4,Australia,Apple Watch,254.18,2,249.1,747.3,0,0,0
Q4,Australia,iPad,538.7,0,538.7,1616.1,0,0,0
Q1,Australia,iPhone,727.03,7,676.14,1352.28,0,0,0
Q1,Australia,Mac,1981.72,0,1981.72,1981.72,0,0,0
Q2,Australia,iPad,451.56,15,383.83,1535.32,0,0,0
Q2,Australia,Accessories,131.67,0,131.67,131.67,0,0,0
Q2,Australia,Mac,1854.21,5,1761.5,1761.5,0,0,0
Q2,Australia,iPhone,570.68,3,553.56,553.56,0,0,0
Q2,Australia,iPad,828.47,0,828.47,828.47,0,0,0
Q3,Australia,iPad,419.27,0,419.27,3354.16,0,0,0
Q4,Australia,Accessories,121.75,5,115.66,115.66,0,0,0
Q4,Australia,AirPods,253.51,7,235.76,235.76,0,0,0
Q4,Australia,Accessories,302.37,0,302.37,604.74,0,0,0
Q4,Australia,Accessories,82.37,0,82.37,164.74,0,0,0
Q1,Australia,iPhone,750.43,0,750.43,1500.86,0,0,0
Q1,Australia,iPhone,1126.94,15,957.9,1915.8,0,0,0
Q2,Australia,Accessories,287.5,0,287.5,287.5,0,0,0
Q2,Australia,iPad,1076.52,3,1044.22,2088.44,0,0,0
Q2,Australia,Apple Watch,859.01,0,859.01,1718.02,0,0,0
Q3,Australia,Mac,2087.08,2,2045.34,3912.29,0,0,1
Q4,Australia,iPad,465.83,2,456.51,456.51,0,0,0
Q4,Australia,Accessories,123.96,10,111.56,111.56,0,0,0
Q1,Australia,Mac,585.29,5,556.03,1112.06,0,0,0
Q1,Australia,AirPods,267.23,3,259.21,259.21,0,0,0
Q1,Australia,iPad,1102.09,0,1102.09,1102.09,0,0,0
Q1,Australia,Apple Watch,310.73,10,279.66,279.66,0,0,0
Q3,Australia,Accessories,41.03,3,39.8,39.8,0,0,0
